EFFECTIVE_DATE,JURISDICTION,PARTY,TERM,micro avg,macro avg,weighted avg,eval_loss,steps,train_loss
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.9393938183784485,93,0.9529330134391785
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.6100334525108337,186,0.6016795635223389
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.4060658812522888,279,0.34013330936431885
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.27749112248420715,372,0.35797828435897827
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.17410394549369812,465,0.1789352297782898
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 1.0, 'recall': 0.029850746268656716, 'f1-score': 0.05797101449275362, 'support': 134}","{'precision': 1.0, 'recall': 0.022123893805309734, 'f1-score': 0.043290043290043295, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 1.0, 'recall': 0.020833333333333332, 'f1-score': 0.04081632653061225, 'support': 672}","{'precision': 0.5, 'recall': 0.012993660018491612, 'f1-score': 0.025315264445699228, 'support': 672}","{'precision': 0.8720238095238095, 'recall': 0.020833333333333332, 'f1-score': 0.0406774040314413, 'support': 672}",0.13675372302532196,558,0.13010156154632568
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.8387096774193549, 'recall': 0.582089552238806, 'f1-score': 0.6872246696035242, 'support': 134}","{'precision': 0.9415584415584416, 'recall': 0.6415929203539823, 'f1-score': 0.763157894736842, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.9177057356608479, 'recall': 0.5476190476190477, 'f1-score': 0.6859273066169618, 'support': 672}","{'precision': 0.4450670297444491, 'recall': 0.30592061814819704, 'f1-score': 0.36259564108509157, 'support': 672}","{'precision': 0.8005528457717398, 'recall': 0.5476190476190477, 'f1-score': 0.6503504079582215, 'support': 672}",0.08262410014867783,651,0.06749933212995529
"{'precision': 1.0, 'recall': 0.05555555555555555, 'f1-score': 0.10526315789473684, 'support': 54}","{'precision': 0.664179104477612, 'recall': 0.664179104477612, 'f1-score': 0.664179104477612, 'support': 134}","{'precision': 0.9161490683229814, 'recall': 0.6526548672566371, 'f1-score': 0.7622739018087855, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8431372549019608, 'recall': 0.5758928571428571, 'f1-score': 0.6843501326259946, 'support': 672}","{'precision': 0.6450820432001483, 'recall': 0.3430973818224512, 'f1-score': 0.3829290410452836, 'support': 672}","{'precision': 0.8290169328601006, 'recall': 0.5758928571428571, 'f1-score': 0.6536190686664982, 'support': 672}",0.07301581650972366,744,0.0774892270565033
"{'precision': 0.8571428571428571, 'recall': 0.2222222222222222, 'f1-score': 0.35294117647058826, 'support': 54}","{'precision': 0.785234899328859, 'recall': 0.8731343283582089, 'f1-score': 0.8268551236749117, 'support': 134}","{'precision': 0.8888888888888888, 'recall': 0.7787610619469026, 'f1-score': 0.8301886792452831, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8604651162790697, 'recall': 0.7157738095238095, 'f1-score': 0.7814784727863525, 'support': 672}","{'precision': 0.6328166613401512, 'recall': 0.46852940313183344, 'f1-score': 0.5024962448476957, 'support': 672}","{'precision': 0.8233407270439868, 'recall': 0.7157738095238095, 'f1-score': 0.7516409123820206, 'support': 672}",0.06333800405263901,837,0.06348070502281189
"{'precision': 0.76, 'recall': 0.35185185185185186, 'f1-score': 0.4810126582278481, 'support': 54}","{'precision': 0.8916666666666667, 'recall': 0.7985074626865671, 'f1-score': 0.8425196850393701, 'support': 134}","{'precision': 0.9278074866310161, 'recall': 0.7676991150442478, 'f1-score': 0.8401937046004844, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.9113680154142582, 'recall': 0.7038690476190477, 'f1-score': 0.7942905121746432, 'support': 672}","{'precision': 0.6448685383244207, 'recall': 0.4795146073956667, 'f1-score': 0.5409315119669257, 'support': 672}","{'precision': 0.8629349959680842, 'recall': 0.7038690476190477, 'f1-score': 0.7717855294925571, 'support': 672}",0.04619649797677994,930,0.042923230677843094
