ANSWER,HEADER,QUESTION,micro avg,macro avg,weighted avg,eval_loss,epoch,train_loss
"{'precision': 0.2247191011235955, 'recall': 0.24479804161566707, 'f1-score': 0.2343292325717633, 'support': 817}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.4530769230769231, 'recall': 0.5468895078922934, 'f1-score': 0.49558266722759786, 'support': 1077}","{'precision': 0.36027397260273974, 'recall': 0.3919523099850969, 'f1-score': 0.3754461099214847, 'support': 2013}","{'precision': 0.22593200806683952, 'recall': 0.26389584983598685, 'f1-score': 0.24330396659978706, 'support': 2013}","{'precision': 0.33361120306598296, 'recall': 0.3919523099850969, 'f1-score': 0.36025311257588344, 'support': 2013}",1.2797516584396362,0,1.4461435079574585
"{'precision': 0.6474056603773585, 'recall': 0.6719706242350061, 'f1-score': 0.6594594594594595, 'support': 817}","{'precision': 0.3684210526315789, 'recall': 0.058823529411764705, 'f1-score': 0.10144927536231883, 'support': 119}","{'precision': 0.7350498338870431, 'recall': 0.8217270194986073, 'f1-score': 0.7759754493643138, 'support': 1077}","{'precision': 0.6957991308546596, 'recall': 0.7158469945355191, 'f1-score': 0.7056807051909892, 'support': 2013}","{'precision': 0.5836255156319935, 'recall': 0.5175070577151261, 'f1-score': 0.5122947280620308, 'support': 2013}","{'precision': 0.677804868796724, 'recall': 0.7158469945355191, 'f1-score': 0.6888109295140886, 'support': 2013}",0.6892531514167786,1,0.7347257733345032
"{'precision': 0.7972103004291845, 'recall': 0.9094247246022031, 'f1-score': 0.8496283590623214, 'support': 817}","{'precision': 0.3142857142857143, 'recall': 0.09243697478991597, 'f1-score': 0.14285714285714285, 'support': 119}","{'precision': 0.7954954954954955, 'recall': 0.819870009285051, 'f1-score': 0.807498856881573, 'support': 1077}","{'precision': 0.7881559942224362, 'recall': 0.8132141082960755, 'f1-score': 0.8004889975550122, 'support': 2013}","{'precision': 0.6356638367367982, 'recall': 0.60724390289239, 'f1-score': 0.5999947862670124, 'support': 2013}","{'precision': 0.7677443934919486, 'recall': 0.8132141082960755, 'f1-score': 0.785306824746831, 'support': 2013}",0.36374950408935547,2,0.76141756772995
"{'precision': 0.8623435722411832, 'recall': 0.9277845777233782, 'f1-score': 0.8938679245283019, 'support': 817}","{'precision': 0.4492753623188406, 'recall': 0.2605042016806723, 'f1-score': 0.3297872340425532, 'support': 119}","{'precision': 0.818337617823479, 'recall': 0.8867223769730733, 'f1-score': 0.8511586452762924, 'support': 1077}","{'precision': 0.8245862884160756, 'recall': 0.8663686040735221, 'f1-score': 0.8449612403100775, 'support': 2013}","{'precision': 0.7099855174611677, 'recall': 0.6916703854590412, 'f1-score': 0.6916046012823824, 'support': 2013}","{'precision': 0.8143805668320296, 'recall': 0.8663686040735221, 'f1-score': 0.8376714536280444, 'support': 2013}",0.9137553572654724,3,0.5822282433509827
"{'precision': 0.8502857142857143, 'recall': 0.9106487148102815, 'f1-score': 0.8794326241134752, 'support': 817}","{'precision': 0.5432098765432098, 'recall': 0.3697478991596639, 'f1-score': 0.44, 'support': 119}","{'precision': 0.8109656301145662, 'recall': 0.9201485608170845, 'f1-score': 0.8621139625924314, 'support': 1077}","{'precision': 0.8168044077134986, 'recall': 0.8837555886736215, 'f1-score': 0.8489620615604867, 'support': 2013}","{'precision': 0.7348204069811635, 'recall': 0.7335150582623434, 'f1-score': 0.7271821955686356, 'support': 2013}","{'precision': 0.8110955725352501, 'recall': 0.8837555886736215, 'f1-score': 0.8441893649343061, 'support': 2013}",0.43447595834732056,4,0.3904465138912201
"{'precision': 0.8771726535341831, 'recall': 0.9265605875152999, 'f1-score': 0.9011904761904762, 'support': 817}","{'precision': 0.5092592592592593, 'recall': 0.46218487394957986, 'f1-score': 0.4845814977973569, 'support': 119}","{'precision': 0.8536371603856266, 'recall': 0.904363974001857, 'f1-score': 0.8782687105500452, 'support': 1077}","{'precision': 0.8456439393939394, 'recall': 0.8872329855936413, 'f1-score': 0.8659393939393939, 'support': 2013}","{'precision': 0.7466896910596897, 'recall': 0.7643698118222456, 'f1-score': 0.7546802281792928, 'support': 2013}","{'precision': 0.8428311632014899, 'recall': 0.8872329855936413, 'f1-score': 0.864298667932391, 'support': 2013}",0.8277384042739868,5,0.33580973744392395
"{'precision': 0.8483835005574136, 'recall': 0.9314565483476133, 'f1-score': 0.8879813302217037, 'support': 817}","{'precision': 0.6086956521739131, 'recall': 0.47058823529411764, 'f1-score': 0.5308056872037914, 'support': 119}","{'precision': 0.8172999191592563, 'recall': 0.9387186629526463, 'f1-score': 0.8738115816767502, 'support': 1077}","{'precision': 0.821203953279425, 'recall': 0.9080973671137605, 'f1-score': 0.8624675631045057, 'support': 2013}","{'precision': 0.758126357296861, 'recall': 0.7802544821981258, 'f1-score': 0.7641995330340817, 'support': 2013}","{'precision': 0.8175837632879391, 'recall': 0.9080973671137605, 'f1-score': 0.8592854928138315, 'support': 2013}",0.5532253384590149,6,0.2885992228984833
"{'precision': 0.8529088913282108, 'recall': 0.9510403916768666, 'f1-score': 0.8993055555555556, 'support': 817}","{'precision': 0.5403225806451613, 'recall': 0.5630252100840336, 'f1-score': 0.5514403292181069, 'support': 119}","{'precision': 0.8446180555555556, 'recall': 0.903435468895079, 'f1-score': 0.873037236428892, 'support': 1077}","{'precision': 0.8308184727937814, 'recall': 0.9026328862394436, 'f1-score': 0.8652380952380953, 'support': 2013}","{'precision': 0.7459498425096426, 'recall': 0.8058336902186598, 'f1-score': 0.7745943737341848, 'support': 2013}","{'precision': 0.8299943353925762, 'recall': 0.9026328862394436, 'f1-score': 0.8646871046695281, 'support': 2013}",0.11027920991182327,7,0.16797858476638794
"{'precision': 0.8402173913043478, 'recall': 0.9461444308445532, 'f1-score': 0.8900402993667242, 'support': 817}","{'precision': 0.5851063829787234, 'recall': 0.46218487394957986, 'f1-score': 0.5164319248826291, 'support': 119}","{'precision': 0.8651000870322019, 'recall': 0.9229340761374187, 'f1-score': 0.8930817610062892, 'support': 1077}","{'precision': 0.8423485899214055, 'recall': 0.905116741182315, 'f1-score': 0.8726053639846744, 'support': 2013}","{'precision': 0.7634746204384243, 'recall': 0.7770877936438506, 'f1-score': 0.7665179950852141, 'support': 2013}","{'precision': 0.8384491117753611, 'recall': 0.905116741182315, 'f1-score': 0.8695814109525187, 'support': 2013}",0.8460456132888794,8,0.110660620033741
"{'precision': 0.8771526980482205, 'recall': 0.9351285189718482, 'f1-score': 0.9052132701421802, 'support': 817}","{'precision': 0.5275590551181102, 'recall': 0.5630252100840336, 'f1-score': 0.5447154471544715, 'support': 119}","{'precision': 0.872, 'recall': 0.9108635097493036, 'f1-score': 0.891008174386921, 'support': 1077}","{'precision': 0.8535091851154027, 'recall': 0.9001490312965723, 'f1-score': 0.8762088974854931, 'support': 2013}","{'precision': 0.7589039177221103, 'recall': 0.8030057462683952, 'f1-score': 0.7803122972278577, 'support': 2013}","{'precision': 0.8537293998333091, 'recall': 0.9001490312965723, 'f1-score': 0.8763021280339084, 'support': 2013}",0.30080994963645935,9,0.2291240096092224
