ANSWER,HEADER,QUESTION,micro avg,macro avg,weighted avg,eval_loss,epoch,train_loss
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 809}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.9188034188034188, 'recall': 0.20206766917293234, 'f1-score': 0.3312788906009245, 'support': 1064}","{'precision': 0.9188034188034188, 'recall': 0.10793172690763052, 'f1-score': 0.1931716082659479, 'support': 1992}","{'precision': 0.30626780626780625, 'recall': 0.06735588972431078, 'f1-score': 0.11042629686697485, 'support': 1992}","{'precision': 0.4907664847423883, 'recall': 0.10793172690763052, 'f1-score': 0.1769481624494898, 'support': 1992}",2.1246087551116943,0,2.1594462394714355
"{'precision': 0.6631205673758865, 'recall': 0.2311495673671199, 'f1-score': 0.34280476626947753, 'support': 809}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.6869712351945855, 'recall': 0.7631578947368421, 'f1-score': 0.7230632235084595, 'support': 1064}","{'precision': 0.6823770491803278, 'recall': 0.5015060240963856, 'f1-score': 0.578125, 'support': 1992}","{'precision': 0.450030600856824, 'recall': 0.33143582070132066, 'f1-score': 0.355289329925979, 'support': 1992}","{'precision': 0.6362459504287806, 'recall': 0.5015060240963856, 'f1-score': 0.525435906488458, 'support': 1992}",1.8143738508224487,1,1.8096070289611816
"{'precision': 0.8112094395280236, 'recall': 0.6798516687268232, 'f1-score': 0.7397444519166106, 'support': 809}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.7309941520467836, 'recall': 0.8223684210526315, 'f1-score': 0.7739938080495357, 'support': 1064}","{'precision': 0.76, 'recall': 0.7153614457831325, 'f1-score': 0.7370054305663305, 'support': 1992}","{'precision': 0.5140678638582691, 'recall': 0.5007400299264849, 'f1-score': 0.5045794199887155, 'support': 1992}","{'precision': 0.7199027180501751, 'recall': 0.7153614457831325, 'f1-score': 0.7138467235769297, 'support': 1992}",1.5202441215515137,2,1.4430559873580933
"{'precision': 0.8248663101604278, 'recall': 0.7626699629171817, 'f1-score': 0.7925497752087348, 'support': 809}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.7786738351254481, 'recall': 0.8167293233082706, 'f1-score': 0.7972477064220184, 'support': 1064}","{'precision': 0.7972103004291845, 'recall': 0.7459839357429718, 'f1-score': 0.770746887966805, 'support': 1992}","{'precision': 0.5345133817619586, 'recall': 0.5264664287418174, 'f1-score': 0.5299324938769178, 'support': 1992}","{'precision': 0.7509165690227223, 'recall': 0.7459839357429718, 'f1-score': 0.7477130159522561, 'support': 1992}",1.5344481468200684,3,1.351302981376648
"{'precision': 0.7992424242424242, 'recall': 0.7824474660074165, 'f1-score': 0.7907557776389755, 'support': 809}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.8454198473282443, 'recall': 0.8327067669172933, 'f1-score': 0.8390151515151515, 'support': 1064}","{'precision': 0.8255434782608696, 'recall': 0.7625502008032129, 'f1-score': 0.7927974947807933, 'support': 1992}","{'precision': 0.5482207571902228, 'recall': 0.5383847443082366, 'f1-score': 0.543256976384709, 'support': 1992}","{'precision': 0.7761615656472757, 'recall': 0.7625502008032129, 'f1-score': 0.7692939484548456, 'support': 1992}",1.402029037475586,4,1.125990867614746
"{'precision': 0.732519422863485, 'recall': 0.8158220024721878, 'f1-score': 0.7719298245614035, 'support': 809}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.8659491193737769, 'recall': 0.831766917293233, 'f1-score': 0.8485139022051773, 'support': 1064}","{'precision': 0.8034321372854915, 'recall': 0.7756024096385542, 'f1-score': 0.789272030651341, 'support': 1992}","{'precision': 0.5328228474124207, 'recall': 0.5491963065884736, 'f1-score': 0.5401479089221936, 'support': 1992}","{'precision': 0.7600291546738244, 'recall': 0.7756024096385542, 'f1-score': 0.7667218975986365, 'support': 1992}",1.1066067218780518,5,1.0552966594696045
"{'precision': 0.8014796547472256, 'recall': 0.8034610630407911, 'f1-score': 0.8024691358024691, 'support': 809}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.8446511627906976, 'recall': 0.8533834586466166, 'f1-score': 0.8489948574100046, 'support': 1064}","{'precision': 0.8260869565217391, 'recall': 0.7821285140562249, 'f1-score': 0.8035069623517276, 'support': 1992}","{'precision': 0.548710272512641, 'recall': 0.5522815072291359, 'f1-score': 0.5504879977374912, 'support': 1992}","{'precision': 0.7766595772589395, 'recall': 0.7821285140562249, 'f1-score': 0.7793815557974109, 'support': 1992}",1.163040041923523,6,1.078298807144165
"{'precision': 0.7868453105968332, 'recall': 0.7985166872682324, 'f1-score': 0.7926380368098161, 'support': 809}","{'precision': 0.9090909090909091, 'recall': 0.08403361344537816, 'f1-score': 0.15384615384615385, 'support': 119}","{'precision': 0.8510028653295129, 'recall': 0.8374060150375939, 'f1-score': 0.8441496920890573, 'support': 1064}","{'precision': 0.8233102714209686, 'recall': 0.7766064257028112, 'f1-score': 0.7992766726943941, 'support': 1992}","{'precision': 0.8489796950057517, 'recall': 0.5733187719170681, 'f1-score': 0.5968779609150091, 'support': 1992}","{'precision': 0.8284170297014347, 'recall': 0.7766064257028112, 'f1-score': 0.7819915343722845, 'support': 1992}",1.042945384979248,7,0.8982612490653992
"{'precision': 0.8062111801242235, 'recall': 0.8022249690976514, 'f1-score': 0.8042131350681535, 'support': 809}","{'precision': 0.8620689655172413, 'recall': 0.21008403361344538, 'f1-score': 0.33783783783783783, 'support': 119}","{'precision': 0.8717703349282296, 'recall': 0.856203007518797, 'f1-score': 0.8639165481270743, 'support': 1064}","{'precision': 0.8435337945715806, 'recall': 0.7956827309236948, 'f1-score': 0.8189098424179798, 'support': 1992}","{'precision': 0.8466834935232316, 'recall': 0.6228373367432979, 'f1-score': 0.6686558403443552, 'support': 1992}","{'precision': 0.8445656064160065, 'recall': 0.7956827309236948, 'f1-score': 0.8082421366365693, 'support': 1992}",0.8524249792098999,8,0.8444625735282898
"{'precision': 0.8064935064935065, 'recall': 0.7676143386897404, 'f1-score': 0.7865737808739709, 'support': 809}","{'precision': 0.8947368421052632, 'recall': 0.2857142857142857, 'f1-score': 0.4331210191082802, 'support': 119}","{'precision': 0.8644724104549855, 'recall': 0.8392857142857143, 'f1-score': 0.8516928946113497, 'support': 1064}","{'precision': 0.8408473655621944, 'recall': 0.7771084337349398, 'f1-score': 0.807722410644404, 'support': 1992}","{'precision': 0.8552342530179183, 'recall': 0.6308714462299134, 'f1-score': 0.6904625648645336, 'support': 1992}","{'precision': 0.8427337227348783, 'recall': 0.7771084337349398, 'f1-score': 0.800241380455524, 'support': 1992}",1.2531760931015015,9,0.9391698241233826
